Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
962cab88-7c85-5c8e-b8ab-70c0743811a0,2023-05-31,,999-88-6565,,,,Nova124,Juliette736,Spencer878,,,,white,hispanic,F,Madison  Wisconsin  US,257 Kuhlman Parade Suite 78,Janesville,Wisconsin,Rock County,55105,53548,42.66625688730324,-89.11866666130818,7005.07,0.00,70116
7a596898-ba75-204c-f74d-19f656c34b84,2020-02-27,,999-46-6826,,,,Carrol931,,Fadel536,,,,asian,nonhispanic,F,Busan  Busan  KR,289 Osinski Annex Unit 76,Madison,Wisconsin,Dane County,55025,53711,43.11910156813097,-89.37087511773947,16668.22,0.00,199520
7f10e2f3-938d-d70b-c1a8-fdbba50c6ff0,2021-12-10,,999-99-7949,,,,Antonio44,Sonny285,Kuvalis369,,,,white,nonhispanic,M,Madison  Wisconsin  US,1008 Daniel Neck,Madison,Wisconsin,Dane County,55025,53706,43.00041925721181,-89.45200406532548,15578.26,0.00,85517
18887354-b42f-017a-2a85-6641548fba2c,1980-02-03,,999-16-9925,S99952450,X55792669X,Mr.,Wilbert25,Jesse626,Wunsch504,,,S,native,nonhispanic,M,Madison  Wisconsin  US,473 Miller Burg Suite 28,Portage,Wisconsin,Columbia County,55021,53901,43.58287691103698,-89.49938033539297,93670.17,0.00,53048
9ef868c0-5cc5-8480-2b00-c48b507c9007,2015-09-25,,999-20-8887,,,,Fe271,Lady554,Von197,,,,hawaiian,nonhispanic,F,Janesville  Wisconsin  US,750 Weissnat Tunnel,Madison,Wisconsin,Dane County,55025,53711,43.07820831850155,-89.35814479924838,21290.88,0.00,60181
15d73087-0161-3efa-4055-72171cebfd0b,1974-09-05,,999-83-1119,S99969320,X326213X,Mr.,Rodrigo242,Ernesto186,Abeyta738,,,M,white,hispanic,M,Port-au-Prince  Haiti  HT,326 Nienow Spur Unit 50,Madison,Wisconsin,Dane County,55025,53719,43.073977135774555,-89.37884399462166,94877.87,527.40,96042
e3c328d7-febc-0577-ba9c-90231080cf93,2016-11-02,,999-19-8178,,,,Fritz267,,Toy286,,,,white,nonhispanic,M,Naples  Campania  IT,310 Hyatt Vale,Madison,Wisconsin,Dane County,55025,53711,43.010503320549525,-89.37067831191897,25874.50,0.00,199854
be9676d0-d0c3-e2e7-2ba3-7141507ca2c2,2008-12-16,,999-43-7460,S99982260,,,Chet188,Rodrigo242,Willms744,,,,white,nonhispanic,M,Fort Atkinson  Wisconsin  US,1046 Mueller Corner Suite 51,Madison,Wisconsin,Dane County,55025,53711,43.06769966571238,-89.43941621185401,48277.62,0.00,46414
929e207b-c386-8ebf-c99a-7b489d067e5b,1994-01-10,,999-64-2159,S99996042,X71582164X,Mrs.,Monnie762,,Cormier289,,Gutmann970,M,white,nonhispanic,F,Madison  Wisconsin  US,754 Wiegand Mall,Madison,Wisconsin,Dane County,55025,53706,43.03506029355067,-89.39024150163941,493992.89,498.78,196893
8ff153ba-4e5c-a864-82f3-314f28288501,2020-11-12,,999-25-7232,,,,Rupert654,Eloy929,Reichert620,,,,white,nonhispanic,M,Fort Atkinson  Wisconsin  US,865 Wiegand Boulevard,Madison,Wisconsin,Dane County,55025,53715,43.08444561688164,-89.41959211960464,8337.90,0.00,457338
6ebf6d15-03db-13d3-0de3-6327588eaad3,1996-11-09,,999-69-6551,S99967716,X61996141X,Mr.,Omer483,Huey641,Lang846,,,M,white,nonhispanic,M,Madison  Wisconsin  US,1079 Thompson Tunnel,Madison,Wisconsin,Dane County,55025,53703,43.04053779119962,-89.36864742161809,563621.61,0.00,59067
211d10cc-110b-bd47-a7e4-f975c281706d,1933-05-08,2018-06-10,999-42-2746,S99916570,X44076178X,Ms.,Delores12,Kenna183,Labadie908,,,S,white,nonhispanic,F,Monroe  Wisconsin  US,1051 Smith Drive,Madison,Wisconsin,Dane County,55025,53715,43.11172988142475,-89.39360931503788,640666.45,0.00,42694
306fcf29-f113-e659-cd23-d024dec7553c,1965-12-13,,999-34-8284,S99915527,X19532855X,Mrs.,Chelsey293,Clementine778,Daniel959,,Morissette863,D,white,nonhispanic,F,Fort Atkinson  Wisconsin  US,719 Smith Highlands,Juneau,Wisconsin,Dodge County,55027,53039,43.41606052262229,-88.70835947414767,583963.49,0.00,137071
188dc2ab-c471-aded-8a44-d7914aaef356,1984-01-20,,999-76-2324,S99943560,X6173468X,Ms.,Armida530,,Gerhold939,,,S,hawaiian,hispanic,F,Monroe  Wisconsin  US,714 Murazik Boulevard,Madison,Wisconsin,Dane County,55025,53726,43.04924254444653,-89.35503114282031,654408.39,0.00,186291
d35bfb05-90ba-1a64-9cf0-2439c02a4f48,1952-10-11,,999-79-5463,S99944768,X71389424X,Mrs.,Kelsie51,Nia310,Zieme486,,Lesch175,M,white,nonhispanic,F,Madison  Wisconsin  US,423 Lebsack Stravenue Unit 51,Madison,Wisconsin,Dane County,55025,53715,43.11756733598283,-89.40313238964592,681880.88,0.00,90742
328b250e-517b-d2d2-c821-773998b23277,2015-10-11,,999-12-1345,,,,Zack583,Roman389,Pfannerstill264,,,,white,nonhispanic,M,Madison  Wisconsin  US,425 Hudson Lodge,Madison,Wisconsin,Dane County,55025,53711,42.99387091821402,-89.3872773398498,35911.76,0.00,106677
117fefb7-290d-5b7e-1ca6-85c9ccc9e9df,2001-07-27,,999-70-1041,S99975052,X75773466X,Mr.,Rudy520,Evan94,Reilly981,,,,black,nonhispanic,M,Baraboo  Wisconsin  US,644 Spencer Stravenue Unit 8,Madison,Wisconsin,Dane County,55025,53726,43.06449189130735,-89.35445828478481,50529.94,0.00,54071
1660a6c3-1c85-2876-a7e8-77e4267fb581,2006-03-27,,999-17-3700,S99965647,,Ms.,Julia241,Sofia418,Lira652,,,,white,hispanic,F,Bayamon  Puerto Rico  PR,764 Kling Vale Apt 86,Madison,Wisconsin,Dane County,55025,53719,43.048983066989535,-89.373696747912,665100.74,416.87,50558
17547bd9-27d8-4d69-cbea-9693b7f450ca,2000-05-31,,999-63-2046,S99938152,X1195864X,Mr.,Frederic454,Whitney250,Medhurst46,,,,white,nonhispanic,M,Madison  Wisconsin  US,710 Weissnat Street,Dodgeville,Wisconsin,Iowa County,55049,53533,42.98835523606975,-90.18813963119402,72824.59,630.73,116665
530f9100-f4d4-85e8-d010-c13bfd414ca1,2024-06-22,,999-83-1954,,,,Emmaline88,Bianca274,Schneider199,,,,white,nonhispanic,F,Portage  Wisconsin  US,466 Hackett Gardens Apt 51,Baraboo,Wisconsin,Sauk County,,00000,43.24225343488659,-89.76649263885578,4610.25,764.12,44772
e350f286-7bde-c03f-4a03-c12bad8d398e,2000-01-26,,999-46-3824,S99920545,X38166256X,Mr.,Elisha578,Troy560,Beatty507,,,,white,nonhispanic,M,Fort Atkinson  Wisconsin  US,115 Mitchell Dale,Portage,Wisconsin,Columbia County,55021,53901,43.562124443490326,-89.45008938499741,57695.00,0.00,130353
d1e8150e-e83b-8521-3a0e-53e303aa626a,1990-04-22,,999-88-7185,S99932206,X87470010X,Mr.,Otis335,Morton637,Lemke654,,,D,white,nonhispanic,M,Madison  Wisconsin  US,205 Metz Quay Unit 39,Juneau,Wisconsin,Dodge County,55027,53039,43.39922098412973,-88.71249714848928,117545.67,0.00,43402
aba11238-f676-1a7d-ebff-8adbf64cdfda,2022-04-03,,999-69-1835,,,,Cortney940,Mathilde204,Schuster709,,,,white,nonhispanic,F,Juneau  Wisconsin  US,468 Pollich Extension Apt 56,Madison,Wisconsin,Dane County,55025,53715,43.001072424646395,-89.50862958681341,25080.15,0.00,302681
1573aa12-7f24-c923-ee84-8310367390b3,2018-12-16,,999-55-9200,,,,Tomasa683,Eusebia552,Ruecker817,,,,white,nonhispanic,F,Janesville  Wisconsin  US,396 Wisozk Rapid,Juneau,Wisconsin,Dodge County,55027,53039,43.40489201780614,-88.74661756807043,31008.22,0.00,22132
9a70ea62-fa57-4535-0a3b-b6d4b6cd01c4,1982-08-25,,999-22-7094,S99948046,X68888694X,Mr.,Christoper325,,Mills423,,,D,white,nonhispanic,M,Madison  Wisconsin  US,153 Bergnaum Esplanade,Juneau,Wisconsin,Dodge County,55027,53039,43.34863933669965,-88.69512792445127,557798.27,0.00,160359
2e395fd4-ed96-5668-71a7-9769ff11ac7a,1987-12-11,,999-42-9765,S99979023,X8237093X,Mrs.,Edith654,,Corwin846,,Fahey393,M,white,nonhispanic,F,Portage  Wisconsin  US,511 Wyman Fork,Monroe,Wisconsin,Green County,55045,53566,42.56052004863031,-89.67931066331035,568024.77,0.00,171986
